"id","project_id","content","staff_id"
1,258,"Al d&iacute;a 21 de junio de 2021 se han facturado todos los gastos.",10
2,575,"Se facturaron todos los gastos hasta el 2 de agosto de 2021, por la suma de 632.26.",12
3,808,"&nbsp;Hoy 26 de agosto de 2021, el contrato va por la suma de&nbsp; $ 175.00, ( 30 Minutos)",12
4,1216,"Se factura segun la factura 2151&nbsp; el abono del 50% del servicio&nbsp;",12
5,764,"Todo se factura est&aacute;n en dos facturas repartidos estos gastos .&nbsp;<br /><br />Factura No. 1061, factura No. 1062",12
6,1695,"caso repetido, se cancelo",12
7,294,"12/10 /22 Pendiente facturar&nbsp; 0.12&nbsp; de gastos en la siguiente factura",12
8,1225,"pendiente de facturar lo que esta como no facturado, ya que ellos solo depositaron 80 para gastos",12
9,2226,"caso repetido con el 2087",12
10,2087,"Pendiente de facturar todo los gastos que se asosiaron con la factura 1035",12
11,2596,"Este caso se creo a raz&oacute;n cambio de Agente Residente de Imex Hispania, S.A. Facturado en la factura <a href=""https://cases.velo-legal.com/mivelo_legal/admin/invoices/list_invoices/3796"" target=""_blank"" rel=""noopener"">003744</a>",10
12,2773,"Nota: 30-5-23, Ya se ha consumido los gastos de crps cobrados de ambas facturas ( 4425 y la 4424), en caso que se incurra en alg&uacute;n gasto e crp se tendr&aacute; que facturar por separado.",12
13,2869,"se facturo y se entrego documentacion&nbsp;",12
14,3190,"<p style=""font-weight: 400;""><span>MONTO TOTAL: U$7,500</span></p>
<ul style=""font-weight: 400;"">
<li><span>M&oacute;nica: U$1,800 por 24 meses de seguimiento, contados a partir de mayo de 2023</span></li>
<li><span>VELO: U$700</span></li>
<li><span>Abogado que gestionar&aacute;: U$5,000</span></li>
</ul>
<p style=""font-weight: 400;""><span>&nbsp;</span></p>
<p style=""font-weight: 400;""><span>FACTURACION DEL PRIMER ABONO: a la firma del poder: U$2,000</span></p>
<ul style=""font-weight: 400;"">
<li><span>M&oacute;nica: U$150 por los meses de mayo y junio. Pero sugiero reservar U$480 para cubrir el seguimiento durante 2023</span></li>
<li><span>VELO: U$200</span></li>
<li><span>Abogado: U$1,320</span></li>
</ul>
<p style=""font-weight: 400;""><span>&nbsp;</span></p>
<p style=""font-weight: 400;""><span>FACTURACION DEL SEGUNDO ABONO: a la contestaci&oacute;n de demanda: U$2,000</span></p>
<ul style=""font-weight: 400;"">
<li><span>M&oacute;nica: U$120 para completar sus honorarios por el seguimiento durante 2023</span></li>
<li><span>VELO: U$200</span></li>
<li><span>Abogado: U$1,320</span></li>
<li><span>Fondo de Reserva: U$360: para seguimiento en 2024 o para repartir entre todos si el proceso termina anticipadamente</span></li>
</ul>
<p style=""font-weight: 400;""><span>&nbsp;</span></p>
<p style=""font-weight: 400;""><span>FACTURACION DEL TERCER ABONO: antes de la audiencia: U$2,000</span></p>
<ul style=""font-weight: 400;"">
<li><span>M&oacute;nica: 0, si la audiencia ocurre este a&ntilde;o</span></li>
<li><span>VELO: U$200</span></li>
<li><span>Abogado: U$1,320</span></li>
<li><span>Fondo de Reserva: U$480: para seguimiento en 2024 o para repartir entre todos si el proceso termina anticipadamente</span></li>
</ul>
<p style=""font-weight: 400;""><span>&nbsp;</span></p>
<p style=""font-weight: 400;""><span>FACTURACION DEL CUARTO ABONO: con emisi&oacute;n de la sentencia: U$1,500</span></p>
<ul style=""font-weight: 400;"">
<li><span>M&oacute;nica: U$60 para completar el seguimiento durante 2024, si la sentencia demora 2 a&ntilde;os en salir</span></li>
<li><span>VELO: U$200</span></li>
<li><span>Abogado: U$900</span></li>
<li><span>Fondo de Reserva: U$340: para repartir entre todos</span></li>
</ul>
<br /><br />------------------------------------------------<br />Lo anterio quedo invalidado y estas son los pagos desglosada por el se&ntilde;or Luis.&nbsp;<br />
<ul style=""font-weight: 400;"">
<li><span>HONORARIOS TOTALES: $6,500 en lugar de $7,500 (el &uacute;ltimo abono ser&aacute; por $500 por la redacci&oacute;n del acuerdo extrajudicial)</span></li>
<li><span>HONORARIOS DE MONICA: $600 en lugar de $1,800 (4 meses de seguimiento y $300 por firmar el acuerdo extrajudicial</span></li>
<li><span>HONORARIOS DE OSMAR: $200 por las 9 horas adicionales que le tom&oacute; hacer su informe (se toma del excedente de honorarios inicialmente presupuestados para M&oacute;nica)</span></li>
<li><span>HONORARIOS VELO: $1,000 en lugar de $700 (se toma del excedente de honorarios presupuestados para M&oacute;nica)</span></li>
<li><span>GASTOS VIAJE LUIS: $200 (se toma del excedente de honorarios presupuestados para M&oacute;nica)</span></li>
<li><span>HONORARIOS LUIS: $4,500 en lugar de $5,000</span></li>
</ul>
<p style=""font-weight: 400;""><span>&nbsp;</span></p>",12
15,3360,"A este cliente no se la factura, ya que se le presta el servicio en contraprestaci&oacute;n de un SAFE.",9
16,1478,"se continua el proceso en la compraventa de monteverde caso No. 2952",12
17,2865,"los gastos del caso se autopagan",12
18,1586,"Caso repetido&nbsp;",12
19,1556,"En espera que el cliente se reconecte con nosotros.",12
20,3464,"No se inicio el proceso, puesto que el cliente cancelo",12
21,3285,"los gastos aqu&iacute;, no se factur&aacute;n&nbsp;",12
22,687,"De esta facturaci&oacute;n al mes, le corresponden al se&ntilde;or Luis 214.00 en la factura.",12
