id,content,proposal_id,staff_id,created_at
1,El precio de la minuta de cancelación no incluye gastos de inscripción en Registro Público. ,2,5,2019-08-05 16:41:13
2,"Perdió la oportunidad de alquilar el local, en consecuencia no necesita el contrato de arrendamiento",800,9,2022-01-20 12:19:18
3,El Promotor está haciendo las escrituras in house,550,9,2022-01-20 12:20:09
4,Se rechaza la propuesta toda vez que la señora Zarak se va a vivir a Mexico y quiere llevar a la doméstica con ella y requiere solo el pago de la multa.,1555,7,2022-09-30 17:11:18
5,Se le dió seguimiento el 27 de noviembre,1626,9,2022-11-27 16:08:56
6,Se le dio seguimiento el 27 de noviembre,1639,9,2022-11-27 16:09:21
7,Nota: precio especial para el sr. Vicente Lara por relación con Carlos Hoyos. No utilizar como copia para propuestas de Fundación de Interés Privado,1910,8,2023-01-25 16:22:04
8,follow up hecho el 17 de febrero,1952,9,2023-02-17 10:44:58
9,cliente solicitó conversar a finales de marzo,1889,9,2023-02-17 10:46:42
10,follow up el 17 de febrero,1907,9,2023-02-17 10:46:57
11,follow up 17 de febrero,1865,9,2023-02-17 10:57:15
12,rechazada porque cliente decidio consolidar todas sus personas juíridicas en un mismo agente residente. ,2122,9,2023-04-10 11:08:09
13,cliente no contestó después de 4 correos de follow up,1871,9,2023-04-10 11:20:34
14,trámite rechazado por el cliente,2069,9,2023-04-10 11:21:19
15,cliente decició hacerlo con otra firma de abogados.,2054,9,2023-04-11 11:39:22
16,cliente no desea hacer el trámite con Veló Legal,2120,9,2023-04-17 08:30:45
17,cliente no desea hacer el trámite con Veló Legal,2097,9,2023-04-17 08:30:57
18,Se le aconsejó al cliente hacer el servicio con otro abogado,2333,9,2023-06-06 17:47:44
19,Cliente comenta que está muy costoso,2068,9,2023-06-06 20:24:54
20,Cliente pontencial no contestó luego de cinco correos de seguimiento,1894,9,2023-06-06 20:29:42
21,No requieren este tema legal por el momento,2082,9,2023-06-07 15:56:34
22,No requieren este tema legal por el momento,2081,9,2023-06-07 15:56:51
23,Cliente decidió no proceder con el trámite,1680,9,2023-06-08 16:55:00
24,Por el momento no va a proceder con el trámite,1618,9,2023-06-08 16:57:33
25,No necesitan director nominal,1585,9,2023-06-08 16:58:54
26,"Era para un cliente de Angel, que al final lo saco por su cuenta.",2059,3,2023-06-12 11:19:51
27,Cliente le parecio muy costosa,2015,3,2023-06-12 11:20:52
28,El cliente decidió no disolver la sociedad,2393,9,2023-06-26 14:47:44
29,Se va a facturo en esta proforma el 50% de los honorarios y queda pendiente el 50% restante cuando salga todo.,3154,12,2023-12-28 13:00:43
